Delay [ns]	Avg StS	0245 Delay[ns]	0245 StS	0246 Delay[ns]	0246 StS	0247 Delay[ns]	0247 StS	0248 Delay[ns]	0248 StS	0249 Delay[ns]	0249 StS	0250 Delay[ns]	0250 StS
4.180000e+00	1.785316e+08	4.180000e+00	1.521095e+08	4.180000e+00	1.807488e+08	4.180000e+00	1.903788e+08	4.180000e+00	2.016524e+08	4.180000e+00	1.688037e+08	4.180000e+00	1.774961e+08
4.205000e+00	1.635147e+08	4.205000e+00	5.146619e+07	4.205000e+00	1.444249e+08	4.205000e+00	1.678775e+08	4.205000e+00	2.405976e+08	4.205000e+00	2.603116e+08	4.205000e+00	1.164103e+08
4.230000e+00	1.788336e+08	4.230000e+00	1.154821e+08	4.230000e+00	1.907276e+08	4.230000e+00	1.050670e+08	4.230000e+00	2.806922e+08	4.230000e+00	2.009920e+08	4.230000e+00	1.800404e+08
4.280000e+00	1.704334e+08	4.280000e+00	1.736265e+08	4.280000e+00	1.392437e+08	4.280000e+00	1.179694e+08	4.280000e+00	2.562994e+08	4.280000e+00	1.130204e+08	4.280000e+00	2.224412e+08
4.380000e+00	1.753328e+08	4.380000e+00	1.102769e+08	4.380000e+00	1.364225e+08	4.380000e+00	1.623542e+08	4.380000e+00	2.191177e+08	4.380000e+00	2.644412e+08	4.380000e+00	1.593845e+08
4.480000e+00	1.579154e+08	4.480000e+00	2.078112e+08	4.480000e+00	1.541771e+08	4.480000e+00	1.516439e+08	4.480000e+00	1.392947e+08	4.480000e+00	2.161387e+08	4.480000e+00	7.842709e+07
4.530000e+00	1.447324e+08	4.530000e+00	1.044149e+08	4.530000e+00	1.027901e+08	4.530000e+00	1.481956e+08	4.530000e+00	1.387822e+08	4.530000e+00	2.004052e+08	4.530000e+00	1.738066e+08
4.830000e+00	1.780133e+08	4.830000e+00	1.987086e+08	4.830000e+00	1.834539e+08	4.830000e+00	2.031428e+08	4.830000e+00	1.967704e+08	4.830000e+00	7.855819e+07	4.830000e+00	2.074461e+08
5.130000e+00	1.721346e+08	5.130000e+00	1.215237e+08	5.130000e+00	2.360827e+08	5.130000e+00	1.376590e+08	5.130000e+00	1.973348e+08	5.130000e+00	1.508456e+08	5.130000e+00	1.893618e+08
5.430000e+00	1.837957e+08	5.430000e+00	1.943344e+08	5.430000e+00	2.373504e+08	5.430000e+00	1.338749e+08	5.430000e+00	1.978372e+08	5.430000e+00	1.867321e+08	5.430000e+00	1.526453e+08
5.730000e+00	1.489559e+08	5.730000e+00	1.718214e+08	5.730000e+00	8.595745e+07	5.730000e+00	3.303754e+07	5.730000e+00	1.851416e+08	5.730000e+00	1.789648e+08	5.730000e+00	2.388128e+08
5.780000e+00	1.101221e+08	5.780000e+00	1.504010e+08	5.780000e+00	8.974379e+07	5.780000e+00	1.393545e+08	5.780000e+00	1.587452e+08	5.780000e+00	1.178000e+08	5.780000e+00	4.687950e+06
5.880000e+00	1.297800e+08	5.880000e+00	1.560755e+08	5.880000e+00	7.128152e+07	5.880000e+00	1.354052e+08	5.880000e+00	7.063291e+07	5.880000e+00	1.240000e+08	5.880000e+00	2.212846e+08
5.980000e+00	1.950866e+08	5.980000e+00	1.878385e+08	5.980000e+00	1.599166e+08	5.980000e+00	1.993398e+08	5.980000e+00	1.761843e+08	5.980000e+00	1.975366e+08	5.980000e+00	2.497038e+08
6.030000e+00	1.756923e+08	6.030000e+00	2.323765e+08	6.030000e+00	2.609540e+08	6.030000e+00	1.361274e+08	6.030000e+00	1.258019e+08	6.030000e+00	8.612653e+07	6.030000e+00	2.127675e+08
6.055000e+00	1.275867e+08	6.055000e+00	1.468326e+08	6.055000e+00	1.398291e+08	6.055000e+00	1.457472e+08	6.055000e+00	1.713391e+07	6.055000e+00	1.600870e+08	6.055000e+00	1.558903e+08
6.080000e+00	1.371093e+08	6.080000e+00	1.753140e+08	6.080000e+00	8.735187e+07	6.080000e+00	1.165633e+08	6.080000e+00	1.526912e+08	6.080000e+00	1.463058e+08	6.080000e+00	1.444295e+08
6.105000e+00	1.621264e+08	6.105000e+00	1.771588e+08	6.105000e+00	1.439697e+08	6.105000e+00	2.088694e+08	6.105000e+00	1.414787e+08	6.105000e+00	1.504698e+08	6.105000e+00	1.508118e+08
6.130000e+00	1.326050e+08	6.130000e+00	8.757493e+07	6.130000e+00	1.439268e+08	6.130000e+00	7.715550e+07	6.130000e+00	1.217133e+08	6.130000e+00	2.142932e+08	6.130000e+00	1.509665e+08
6.155000e+00	1.347912e+08	6.155000e+00	1.825761e+08	6.155000e+00	5.978689e+07	6.155000e+00	1.142427e+08	6.155000e+00	1.686497e+08	6.155000e+00	1.198713e+08	6.155000e+00	1.636205e+08
6.180000e+00	1.393895e+08	6.180000e+00	1.499726e+08	6.180000e+00	1.327810e+08	6.180000e+00	1.298235e+08	6.180000e+00	1.476382e+08	6.180000e+00	1.071109e+08	6.180000e+00	1.690109e+08
6.205000e+00	1.520993e+08	6.205000e+00	1.590141e+08	6.205000e+00	1.420130e+08	6.205000e+00	1.969316e+08	6.205000e+00	2.078195e+08	6.205000e+00	7.472959e+07	6.205000e+00	1.320878e+08
6.230000e+00	1.359954e+08	6.230000e+00	8.082372e+07	6.230000e+00	2.278159e+08	6.230000e+00	1.455062e+08	6.230000e+00	2.269348e+08	6.230000e+00	1.337118e+08	6.230000e+00	1.179798e+06
6.280000e+00	1.572430e+08	6.280000e+00	1.730721e+08	6.280000e+00	1.493490e+08	6.280000e+00	1.774216e+08	6.280000e+00	2.599197e+08	6.280000e+00	1.226123e+08	6.280000e+00	6.108346e+07
6.380000e+00	1.467269e+08	6.380000e+00	1.206938e+08	6.380000e+00	1.567283e+08	6.380000e+00	2.033601e+08	6.380000e+00	1.075324e+08	6.380000e+00	1.477008e+08	6.380000e+00	1.443461e+08
6.480000e+00	1.309992e+08	6.480000e+00	1.262062e+08	6.480000e+00	1.677161e+08	6.480000e+00	1.066719e+08	6.480000e+00	1.968296e+08	6.480000e+00	7.016021e+07	6.480000e+00	1.184113e+08
6.530000e+00	1.473689e+08	6.530000e+00	1.412514e+08	6.530000e+00	1.897039e+08	6.530000e+00	1.317686e+08	6.530000e+00	1.503698e+08	6.530000e+00	1.599520e+08	6.530000e+00	1.111679e+08
6.830000e+00	1.548567e+08	6.830000e+00	1.228482e+08	6.830000e+00	1.744062e+08	6.830000e+00	9.819142e+07	6.830000e+00	1.267681e+08	6.830000e+00	2.589379e+08	6.830000e+00	1.479882e+08
7.130000e+00	1.659779e+08	7.130000e+00	1.686652e+08	7.130000e+00	1.701245e+08	7.130000e+00	1.275438e+08	7.130000e+00	1.431296e+08	7.130000e+00	2.160998e+08	7.130000e+00	1.703046e+08
7.430000e+00	1.149099e+08	7.430000e+00	8.326045e+07	7.430000e+00	1.019341e+08	7.430000e+00	1.315160e+08	7.430000e+00	7.064426e+07	7.430000e+00	1.906689e+08	7.430000e+00	1.114354e+08
7.730000e+00	8.916759e+07	7.730000e+00	6.483420e+07	7.730000e+00	1.358363e+08	7.730000e+00	1.063927e+08	7.730000e+00	7.492088e+07	7.730000e+00	1.124027e+08	7.730000e+00	4.061877e+07
7.780000e+00	1.334809e+08	7.780000e+00	5.611738e+07	7.780000e+00	1.647796e+08	7.780000e+00	1.726272e+08	7.780000e+00	5.601036e+07	7.780000e+00	1.411936e+08	7.780000e+00	2.101575e+08
7.880000e+00	1.659065e+08	7.880000e+00	8.959419e+07	7.880000e+00	1.339978e+08	7.880000e+00	2.056571e+08	7.880000e+00	2.407776e+08	7.880000e+00	1.641262e+08	7.880000e+00	1.612862e+08
7.980000e+00	1.049000e+08	7.980000e+00	1.075771e+08	7.980000e+00	1.304818e+08	7.980000e+00	1.002513e+08	7.980000e+00	1.154946e+08	7.980000e+00	9.612866e+07	7.980000e+00	7.946659e+07
8.030000e+00	9.873991e+07	8.030000e+00	9.965271e+07	8.030000e+00	4.123908e+07	8.030000e+00	2.371055e+08	8.030000e+00	9.196494e+06	8.030000e+00	5.449097e+07	8.030000e+00	1.507547e+08
8.055000e+00	1.194008e+08	8.055000e+00	1.575130e+08	8.055000e+00	9.359223e+07	8.055000e+00	1.587755e+08	8.055000e+00	1.436436e+08	8.055000e+00	1.079956e+08	8.055000e+00	5.488457e+07
8.080000e+00	1.177111e+08	8.080000e+00	7.836297e+07	8.080000e+00	8.627831e+07	8.080000e+00	1.456563e+08	8.080000e+00	1.112685e+08	8.080000e+00	1.837478e+08	8.080000e+00	1.009527e+08
8.105000e+00	1.691639e+08	8.105000e+00	1.148959e+08	8.105000e+00	2.311960e+08	8.105000e+00	1.422864e+08	8.105000e+00	1.828495e+08	8.105000e+00	1.489320e+08	8.105000e+00	1.948237e+08
8.130000e+00	1.293255e+08	8.130000e+00	9.440314e+07	8.130000e+00	9.327944e+07	8.130000e+00	1.859476e+08	8.130000e+00	3.375229e+07	8.130000e+00	2.287686e+08	8.130000e+00	1.398018e+08
8.155000e+00	1.397717e+08	8.155000e+00	1.777511e+08	8.155000e+00	3.127212e+07	8.155000e+00	2.519445e+08	8.155000e+00	1.168617e+08	8.155000e+00	2.111945e+08	8.155000e+00	4.960641e+07
8.180000e+00	1.446588e+08	8.180000e+00	1.049192e+08	8.180000e+00	1.300319e+08	8.180000e+00	2.318565e+08	8.180000e+00	1.779055e+08	8.180000e+00	1.396377e+08	8.180000e+00	8.360185e+07
8.205000e+00	1.082595e+08	8.205000e+00	1.021009e+08	8.205000e+00	1.426321e+08	8.205000e+00	6.986053e+07	8.205000e+00	9.722541e+07	8.205000e+00	1.778159e+08	8.205000e+00	5.992224e+07
8.230000e+00	1.381803e+08	8.230000e+00	1.399506e+08	8.230000e+00	1.653863e+08	8.230000e+00	9.061725e+07	8.230000e+00	1.594207e+08	8.230000e+00	1.372990e+08	8.230000e+00	1.364080e+08
8.280000e+00	1.272552e+08	8.280000e+00	1.160626e+08	8.280000e+00	1.037743e+08	8.280000e+00	1.104475e+08	8.280000e+00	1.453189e+08	8.280000e+00	1.416206e+08	8.280000e+00	1.463074e+08
8.380000e+00	1.523884e+08	8.380000e+00	1.075686e+08	8.380000e+00	1.895188e+08	8.380000e+00	1.323517e+08	8.380000e+00	1.942834e+08	8.380000e+00	1.302752e+08	8.380000e+00	1.603326e+08
8.480000e+00	1.249172e+08	8.480000e+00	1.059338e+08	8.480000e+00	1.207357e+08	8.480000e+00	1.616653e+08	8.480000e+00	1.230776e+08	8.480000e+00	7.103329e+07	8.480000e+00	1.670575e+08
8.530000e+00	8.459950e+07	8.530000e+00	1.024423e+08	8.530000e+00	8.213787e+07	8.530000e+00	1.092430e+08	8.530000e+00	-2.699362e+02	8.530000e+00	9.948829e+07	8.530000e+00	1.142858e+08
8.830000e+00	1.439633e+08	8.830000e+00	1.339014e+08	8.830000e+00	1.711003e+08	8.830000e+00	1.433273e+08	8.830000e+00	7.285210e+07	8.830000e+00	1.385423e+08	8.830000e+00	2.040565e+08
9.130000e+00	1.350606e+08	9.130000e+00	1.209548e+08	9.130000e+00	1.316197e+08	9.130000e+00	9.053156e+07	9.130000e+00	1.535632e+08	9.130000e+00	1.218030e+08	9.130000e+00	1.918914e+08
9.430000e+00	7.842862e+07	9.430000e+00	6.092102e+07	9.430000e+00	6.992200e+07	9.430000e+00	1.231379e+08	9.430000e+00	2.595962e+07	9.430000e+00	8.170058e+07	9.430000e+00	1.089306e+08
9.730000e+00	1.456460e+08	9.730000e+00	7.082425e+07	9.730000e+00	1.727334e+08	9.730000e+00	4.640012e+07	9.730000e+00	2.268270e+08	9.730000e+00	1.403501e+08	9.730000e+00	2.167414e+08
9.780000e+00	1.338172e+08	9.780000e+00	1.807123e+08	9.780000e+00	1.724230e+08	9.780000e+00	1.300514e+08	9.780000e+00	1.092012e+08	9.780000e+00	1.063191e+08	9.780000e+00	1.041965e+08
9.880000e+00	1.193380e+08	9.880000e+00	1.338191e+08	9.880000e+00	5.108948e+07	9.880000e+00	3.190677e+07	9.880000e+00	1.735044e+08	9.880000e+00	1.228602e+08	9.880000e+00	2.028478e+08
9.980000e+00	1.427788e+08	9.980000e+00	2.714612e+08	9.980000e+00	4.544035e+07	9.980000e+00	2.624648e+08	9.980000e+00	7.189383e+07	9.980000e+00	1.153373e+08	9.980000e+00	9.007557e+07
1.003000e+01	1.208174e+08	1.003000e+01	1.131707e+08	1.003000e+01	5.457789e+07	1.003000e+01	6.211836e+07	1.003000e+01	1.542314e+08	1.003000e+01	1.576609e+08	1.003000e+01	1.831449e+08
1.005500e+01	1.337823e+08	1.005500e+01	1.313443e+08	1.005500e+01	8.964008e+07	1.005500e+01	2.434553e+08	1.005500e+01	8.841167e+07	1.005500e+01	7.793149e+07	1.005500e+01	1.719108e+08
1.008000e+01	1.388307e+08	1.008000e+01	1.023770e+08	1.008000e+01	1.572890e+08	1.008000e+01	1.414935e+08	1.008000e+01	9.158110e+07	1.008000e+01	1.297609e+08	1.008000e+01	2.104827e+08
1.010500e+01	1.021360e+08	1.010500e+01	3.646340e+07	1.010500e+01	1.152943e+08	1.010500e+01	6.814054e+07	1.010500e+01	1.502114e+08	1.010500e+01	1.356338e+08	1.010500e+01	1.070725e+08
1.013000e+01	1.277387e+08	1.013000e+01	1.177521e+08	1.013000e+01	1.746609e+08	1.013000e+01	1.391634e+08	1.013000e+01	1.491088e+08	1.013000e+01	8.181371e+07	1.013000e+01	1.039332e+08
1.015500e+01	1.424542e+08	1.015500e+01	1.148537e+08	1.015500e+01	1.185557e+08	1.015500e+01	2.144577e+08	1.015500e+01	1.411413e+08	1.015500e+01	1.274887e+08	1.015500e+01	1.382283e+08
1.018000e+01	1.048101e+08	1.018000e+01	9.469866e+07	1.018000e+01	1.557257e+08	1.018000e+01	2.948293e+07	1.018000e+01	1.338423e+08	1.018000e+01	6.958751e+07	1.018000e+01	1.455236e+08
1.020500e+01	1.426068e+08	1.020500e+01	1.020045e+08	1.020500e+01	1.555477e+08	1.020500e+01	2.101377e+08	1.020500e+01	1.198863e+08	1.020500e+01	9.051032e+07	1.020500e+01	1.775545e+08
1.023000e+01	1.009010e+08	1.023000e+01	2.572453e+07	1.023000e+01	1.196084e+08	1.023000e+01	1.309363e+08	1.023000e+01	2.231008e+07	1.023000e+01	2.139414e+08	1.023000e+01	9.288551e+07
1.028000e+01	9.724332e+07	1.028000e+01	1.563172e+08	1.028000e+01	7.123724e+07	1.028000e+01	8.775966e+07	1.028000e+01	1.172920e+08	1.028000e+01	7.836489e+07	1.028000e+01	7.248895e+07
1.038000e+01	1.822950e+08	1.038000e+01	1.782889e+08	1.038000e+01	1.638015e+08	1.038000e+01	2.005247e+08	1.038000e+01	2.096335e+08	1.038000e+01	2.108457e+08	1.038000e+01	1.306756e+08
1.048000e+01	1.154543e+08	1.048000e+01	5.853506e+07	1.048000e+01	1.404166e+08	1.048000e+01	1.755144e+08	1.048000e+01	6.176604e+07	1.048000e+01	1.326892e+08	1.048000e+01	1.238045e+08
1.053000e+01	1.453493e+08	1.053000e+01	3.284969e+07	1.053000e+01	1.874509e+08	1.053000e+01	8.473657e+07	1.053000e+01	2.087711e+08	1.053000e+01	2.122576e+08	1.053000e+01	1.460298e+08
1.083000e+01	1.318963e+08	1.083000e+01	1.484951e+08	1.083000e+01	1.080861e+08	1.083000e+01	8.172468e+07	1.083000e+01	1.372708e+08	1.083000e+01	1.849749e+08	1.083000e+01	1.308262e+08
1.113000e+01	1.327456e+08	1.113000e+01	1.435144e+08	1.113000e+01	9.295112e+07	1.113000e+01	1.101744e+08	1.113000e+01	1.881090e+08	1.113000e+01	1.237376e+08	1.113000e+01	1.379868e+08
1.143000e+01	1.289453e+08	1.143000e+01	7.950339e+07	1.143000e+01	1.162636e+08	1.143000e+01	1.709729e+08	1.143000e+01	8.977718e+07	1.143000e+01	1.824587e+08	1.143000e+01	1.346962e+08
1.173000e+01	8.957497e+07	1.173000e+01	8.594054e+07	1.173000e+01	1.234203e+08	1.173000e+01	1.315132e+08	1.173000e+01	7.760087e+07	1.173000e+01	4.775673e+07	1.173000e+01	7.121817e+07
1.178000e+01	9.837474e+07	1.178000e+01	1.010845e+08	1.178000e+01	9.086552e+07	1.178000e+01	1.857782e+08	1.178000e+01	1.345791e+08	1.178000e+01	3.987748e+07	1.178000e+01	3.806363e+07
1.188000e+01	1.350010e+08	1.188000e+01	1.318183e+08	1.188000e+01	1.176303e+08	1.188000e+01	1.534829e+08	1.188000e+01	1.538771e+08	1.188000e+01	1.163438e+08	1.188000e+01	1.368538e+08
1.198000e+01	8.711921e+07	1.198000e+01	6.791137e+07	1.198000e+01	8.425048e+07	1.198000e+01	1.184204e+08	1.198000e+01	3.070785e+07	1.198000e+01	1.551632e+08	1.198000e+01	6.626198e+07
1.203000e+01	1.267339e+08	1.203000e+01	1.813439e+08	1.203000e+01	7.599564e+07	1.203000e+01	1.117626e+08	1.203000e+01	1.634663e+08	1.203000e+01	1.657218e+08	1.203000e+01	6.211293e+07
1.205500e+01	1.420570e+08	1.205500e+01	1.743868e+08	1.205500e+01	2.271972e+08	1.205500e+01	1.632917e+08	1.205500e+01	1.390305e+08	1.205500e+01	8.572957e+07	1.205500e+01	6.270615e+07
1.208000e+01	1.235470e+08	1.208000e+01	1.576797e+08	1.208000e+01	1.444668e+08	1.208000e+01	4.171504e+07	1.208000e+01	1.713218e+08	1.208000e+01	1.181675e+08	1.208000e+01	1.079310e+08
1.210500e+01	1.178222e+08	1.210500e+01	5.278585e+07	1.210500e+01	2.858489e+08	1.210500e+01	1.804445e+07	1.210500e+01	1.504728e+08	1.210500e+01	1.198700e+08	1.210500e+01	7.991097e+07
1.213000e+01	1.249445e+08	1.213000e+01	1.455523e+08	1.213000e+01	1.612945e+08	1.213000e+01	1.057019e+08	1.213000e+01	1.130594e+08	1.213000e+01	1.237890e+08	1.213000e+01	1.002698e+08
1.215500e+01	1.156720e+08	1.215500e+01	4.449117e+07	1.215500e+01	1.305227e+08	1.215500e+01	1.338182e+08	1.215500e+01	1.526919e+08	1.215500e+01	1.113225e+08	1.215500e+01	1.211854e+08
1.218000e+01	1.242467e+08	1.218000e+01	9.551312e+07	1.218000e+01	1.614339e+08	1.218000e+01	9.007768e+07	1.218000e+01	6.140910e+07	1.218000e+01	1.277254e+08	1.218000e+01	2.093210e+08
1.220500e+01	1.482817e+08	1.220500e+01	2.192549e+08	1.220500e+01	1.549311e+08	1.220500e+01	1.004925e+08	1.220500e+01	1.676314e+08	1.220500e+01	1.088100e+08	1.220500e+01	1.385705e+08
1.223000e+01	1.333510e+08	1.223000e+01	1.416702e+08	1.223000e+01	6.994839e+07	1.223000e+01	1.687528e+08	1.223000e+01	9.636678e+07	1.223000e+01	1.489565e+08	1.223000e+01	1.744116e+08
1.228000e+01	1.227929e+08	1.228000e+01	1.821389e+08	1.228000e+01	1.519814e+08	1.228000e+01	1.048012e+08	1.228000e+01	6.016316e+07	1.228000e+01	1.316050e+08	1.228000e+01	1.060676e+08
1.238000e+01	7.642005e+07	1.238000e+01	6.121052e+07	1.238000e+01	1.759500e+07	1.238000e+01	1.221911e+08	1.238000e+01	1.502178e+07	1.238000e+01	1.356704e+08	1.238000e+01	1.068315e+08
1.248000e+01	6.788558e+07	1.248000e+01	7.335160e+07	1.248000e+01	3.117034e+07	1.248000e+01	4.213204e+07	1.248000e+01	-8.600316e+06	1.248000e+01	4.289124e+07	1.248000e+01	2.263686e+08
1.253000e+01	1.246091e+08	1.253000e+01	5.023603e+07	1.253000e+01	1.491381e+08	1.253000e+01	1.609029e+08	1.253000e+01	7.229318e+07	1.253000e+01	1.651386e+08	1.253000e+01	1.499457e+08
1.283000e+01	1.346109e+08	1.283000e+01	1.860117e+08	1.283000e+01	8.576595e+07	1.283000e+01	1.403397e+08	1.283000e+01	2.025791e+08	1.283000e+01	1.443342e+07	1.283000e+01	1.785354e+08
1.313000e+01	1.372354e+08	1.313000e+01	1.690306e+08	1.313000e+01	2.068845e+08	1.313000e+01	4.161150e+07	1.313000e+01	1.334080e+08	1.313000e+01	1.128691e+08	1.313000e+01	1.596086e+08
