Delay [ns]	Avg StS	0204 Delay[ns]	0204 StS	0205 Delay[ns]	0205 StS	0206 Delay[ns]	0206 StS	0207 Delay[ns]	0207 StS	0208 Delay[ns]	0208 StS	0209 Delay[ns]	0209 StS	0210 Delay[ns]	0210 StS	0211 Delay[ns]	0211 StS
-2.555000e+01	-1.599049e+07	-2.555000e+01	1.093735e+07	-2.555000e+01	-7.490579e+06	-2.555000e+01	4.412240e+07	-2.555000e+01	-8.113597e+06	-2.555000e+01	-9.987692e+07	-2.555000e+01	2.236158e+06	-2.555000e+01	-1.964627e+07	-2.555000e+01	-5.009247e+07
-2.552500e+01	-2.634374e+07	-2.552500e+01	-3.326710e+07	-2.552500e+01	-1.060038e+08	-2.552500e+01	-5.844083e+07	-2.552500e+01	-4.778050e+07	-2.552500e+01	2.328999e+06	-2.552500e+01	-2.025084e+07	-2.552500e+01	1.253471e+07	-2.552500e+01	4.012948e+07
-2.550000e+01	-3.964556e+06	-2.550000e+01	2.341098e+07	-2.550000e+01	-2.901005e+07	-2.550000e+01	-1.826784e+07	-2.550000e+01	3.269984e+07	-2.550000e+01	-4.283228e+07	-2.550000e+01	3.384598e+07	-2.550000e+01	-2.286799e+06	-2.550000e+01	-2.927628e+07
-2.547500e+01	8.952594e+06	-2.547500e+01	3.320112e+07	-2.547500e+01	-8.479752e+07	-2.547500e+01	1.962871e+07	-2.547500e+01	-2.340770e+07	-2.547500e+01	-1.973237e+07	-2.547500e+01	1.131553e+08	-2.547500e+01	6.867090e+07	-2.547500e+01	-3.509769e+07
-2.545000e+01	-9.172911e+06	-2.545000e+01	-1.349345e+07	-2.545000e+01	-1.162010e+08	-2.545000e+01	9.828154e+07	-2.545000e+01	2.230583e+06	-2.545000e+01	-4.435255e+07	-2.545000e+01	-4.313850e+07	-2.545000e+01	4.917745e+07	-2.545000e+01	-5.887361e+06
-2.542500e+01	-2.126695e+07	-2.542500e+01	-7.256511e+07	-2.542500e+01	-3.040103e+07	-2.542500e+01	4.508927e+07	-2.542500e+01	4.494949e+06	-2.542500e+01	-8.838900e+07	-2.542500e+01	-3.204469e+02	-2.542500e+01	3.453359e+06	-2.542500e+01	-3.181769e+07
-2.540000e+01	-4.312760e+07	-2.540000e+01	-3.457998e+07	-2.540000e+01	-5.183577e+07	-2.540000e+01	-1.180329e+07	-2.540000e+01	-2.702833e+07	-2.540000e+01	-2.265973e+07	-2.540000e+01	-9.122429e+07	-2.540000e+01	-2.909982e+07	-2.540000e+01	-7.678960e+07
-2.535000e+01	3.682973e+06	-2.535000e+01	-3.698357e+07	-2.535000e+01	-8.876086e+06	-2.535000e+01	-6.340692e+07	-2.535000e+01	3.609474e+07	-2.535000e+01	5.447108e+06	-2.535000e+01	1.141181e+07	-2.535000e+01	1.266784e+07	-2.535000e+01	7.310886e+07
-2.525000e+01	-2.629816e+07	-2.525000e+01	-5.536755e+07	-2.525000e+01	-1.012818e+07	-2.525000e+01	-1.009238e+08	-2.525000e+01	-6.456184e+07	-2.525000e+01	-6.838522e+07	-2.525000e+01	3.785375e+07	-2.525000e+01	4.993574e+07	-2.525000e+01	1.191815e+06
-2.515000e+01	-7.757951e+06	-2.515000e+01	5.071358e+07	-2.515000e+01	-5.010007e+07	-2.515000e+01	2.801894e+07	-2.515000e+01	-7.869988e+06	-2.515000e+01	-6.094160e+07	-2.515000e+01	-2.594890e+07	-2.515000e+01	3.131340e+07	-2.515000e+01	-2.724897e+07
-2.505000e+01	-1.323201e+07	-2.505000e+01	-5.698230e+07	-2.505000e+01	-6.400306e+06	-2.505000e+01	-4.972956e+07	-2.505000e+01	4.198061e+07	-2.505000e+01	-3.262870e+06	-2.505000e+01	-5.100254e+07	-2.505000e+01	7.505423e+07	-2.505000e+01	-5.551335e+07
-2.475000e+01	2.564089e+07	-2.475000e+01	3.463626e+07	-2.475000e+01	-9.198883e+07	-2.475000e+01	3.076926e+07	-2.475000e+01	9.488214e+07	-2.475000e+01	7.646297e+07	-2.475000e+01	-9.050894e+06	-2.475000e+01	6.584428e+07	-2.475000e+01	3.571908e+06
-2.445000e+01	-1.852279e+06	-2.445000e+01	2.690962e+07	-2.445000e+01	1.581490e+07	-2.445000e+01	-2.766273e+07	-2.445000e+01	4.989880e+06	-2.445000e+01	1.853811e+07	-2.445000e+01	-5.386338e+07	-2.445000e+01	-6.351080e+06	-2.445000e+01	6.806455e+06
-2.415000e+01	-3.936425e+07	-2.415000e+01	-8.903191e+07	-2.415000e+01	1.018659e+07	-2.415000e+01	-2.111903e+07	-2.415000e+01	-4.443125e+07	-2.415000e+01	3.634207e+07	-2.415000e+01	-3.781643e+07	-2.415000e+01	-1.004272e+08	-2.415000e+01	-6.861685e+07
-2.385000e+01	-2.555756e+07	-2.385000e+01	-8.368806e+07	-2.385000e+01	-4.927841e+07	-2.385000e+01	6.564174e+06	-2.385000e+01	2.790015e+07	-2.385000e+01	-3.895381e+07	-2.385000e+01	-5.905493e+07	-2.385000e+01	-3.012549e+07	-2.385000e+01	2.217592e+07
-2.375000e+01	-3.950086e+07	-2.375000e+01	-3.380679e+07	-2.375000e+01	-1.660005e+07	-2.375000e+01	-1.846263e+07	-2.375000e+01	-1.511255e+08	-2.375000e+01	3.130653e+07	-2.375000e+01	-1.027111e+08	-2.375000e+01	6.140228e+07	-2.375000e+01	-8.600966e+07
-2.365000e+01	1.498747e+07	-2.365000e+01	8.101333e+07	-2.365000e+01	-1.403511e+07	-2.365000e+01	-1.572223e+07	-2.365000e+01	2.452827e+07	-2.365000e+01	5.012462e+07	-2.365000e+01	-1.781232e+07	-2.365000e+01	-4.129405e+07	-2.365000e+01	5.309723e+07
-2.360000e+01	2.158377e+07	-2.360000e+01	1.493416e+07	-2.360000e+01	1.801783e+07	-2.360000e+01	5.674079e+07	-2.360000e+01	-3.488384e+06	-2.360000e+01	1.191557e+08	-2.360000e+01	-3.574967e+07	-2.360000e+01	-3.649700e+07	-2.360000e+01	3.955670e+07
-2.357500e+01	3.327884e+06	-2.357500e+01	-1.494738e+07	-2.357500e+01	-3.439623e+07	-2.357500e+01	5.027641e+07	-2.357500e+01	5.564340e+07	-2.357500e+01	-3.640316e+06	-2.357500e+01	-6.305683e+07	-2.357500e+01	1.448664e+07	-2.357500e+01	2.225738e+07
-2.355000e+01	1.332415e+07	-2.355000e+01	-8.940475e+07	-2.355000e+01	-1.915702e+07	-2.355000e+01	3.984161e+06	-2.355000e+01	1.229797e+08	-2.355000e+01	2.088908e+07	-2.355000e+01	-7.272704e+07	-2.355000e+01	2.216978e+07	-2.355000e+01	1.178593e+08
-2.352500e+01	2.000291e+07	-2.352500e+01	3.902733e+07	-2.352500e+01	5.352236e+07	-2.352500e+01	-1.169411e+06	-2.352500e+01	3.401403e+07	-2.352500e+01	4.189795e+07	-2.352500e+01	-5.400010e+07	-2.352500e+01	2.914495e+07	-2.352500e+01	1.758619e+07
-2.350000e+01	-5.971217e+06	-2.350000e+01	3.901248e+07	-2.350000e+01	-3.351829e+07	-2.350000e+01	6.319132e+07	-2.350000e+01	-3.510485e+06	-2.350000e+01	-7.222167e+07	-2.350000e+01	-3.609810e+07	-2.350000e+01	-1.583575e+07	-2.350000e+01	1.121076e+07
-2.347500e+01	1.437847e+07	-2.347500e+01	3.139169e+07	-2.347500e+01	2.974406e+07	-2.347500e+01	4.525417e+07	-2.347500e+01	-7.985083e+07	-2.347500e+01	3.684855e+06	-2.347500e+01	-1.567096e+07	-2.347500e+01	7.683297e+07	-2.347500e+01	2.364180e+07
-2.345000e+01	3.392262e+06	-2.345000e+01	8.764720e+06	-2.345000e+01	-2.965670e+07	-2.345000e+01	1.177903e+08	-2.345000e+01	2.014174e+07	-2.345000e+01	1.976306e+07	-2.345000e+01	-7.861529e+07	-2.345000e+01	3.533769e+07	-2.345000e+01	-6.638742e+07
-2.342500e+01	-2.835113e+07	-2.342500e+01	-9.288033e+07	-2.342500e+01	-7.510515e+07	-2.342500e+01	-8.935830e+07	-2.342500e+01	-4.296427e+07	-2.342500e+01	1.267014e+08	-2.342500e+01	3.270677e+07	-2.342500e+01	3.187893e+07	-2.342500e+01	-1.177881e+08
-2.340000e+01	7.019888e+06	-2.340000e+01	-2.775433e+07	-2.340000e+01	1.458848e+08	-2.340000e+01	-8.722429e+07	-2.340000e+01	-8.374184e+06	-2.340000e+01	2.605137e+07	-2.340000e+01	4.917500e+07	-2.340000e+01	1.116186e+07	-2.340000e+01	-5.276112e+07
-2.335000e+01	2.717726e+06	-2.335000e+01	6.037346e+07	-2.335000e+01	5.187073e+07	-2.335000e+01	3.426133e+07	-2.335000e+01	1.557254e+07	-2.335000e+01	-3.235945e+07	-2.335000e+01	1.214972e+07	-2.335000e+01	-1.226344e+08	-2.335000e+01	2.507882e+06
-2.325000e+01	-1.977995e+07	-2.325000e+01	-3.392345e+07	-2.325000e+01	-7.776872e+07	-2.325000e+01	-5.839497e+07	-2.325000e+01	-5.880607e+07	-2.325000e+01	9.059814e+07	-2.325000e+01	3.438784e+07	-2.325000e+01	-6.174859e+06	-2.325000e+01	-4.815755e+07
-2.315000e+01	6.434371e+06	-2.315000e+01	6.822413e+07	-2.315000e+01	-7.364929e+07	-2.315000e+01	3.764215e+07	-2.315000e+01	2.619956e+07	-2.315000e+01	5.723359e+07	-2.315000e+01	1.082311e+07	-2.315000e+01	-2.839644e+07	-2.315000e+01	-4.660184e+07
-2.305000e+01	-2.540160e+07	-2.305000e+01	-2.527525e+07	-2.305000e+01	-2.518325e+02	-2.305000e+01	-1.034947e+07	-2.305000e+01	-6.609929e+07	-2.305000e+01	-1.056638e+08	-2.305000e+01	8.338242e+07	-2.305000e+01	-1.168827e+08	-2.305000e+01	3.767551e+07
-2.275000e+01	-1.517399e+05	-2.275000e+01	9.728740e+07	-2.275000e+01	-3.661437e+07	-2.275000e+01	5.606279e+07	-2.275000e+01	1.695178e+07	-2.275000e+01	-3.745792e+07	-2.275000e+01	-3.980439e+07	-2.275000e+01	-6.523365e+07	-2.275000e+01	7.594441e+06
-2.245000e+01	-8.493069e+06	-2.245000e+01	-1.846228e+07	-2.245000e+01	-3.098131e+07	-2.245000e+01	1.354173e+07	-2.245000e+01	6.858794e+07	-2.245000e+01	-4.636658e+07	-2.245000e+01	-7.232004e+07	-2.245000e+01	1.553334e+07	-2.245000e+01	2.522655e+06
-2.215000e+01	3.458896e+07	-2.215000e+01	8.001215e+06	-2.215000e+01	-1.178012e+06	-2.215000e+01	1.152916e+08	-2.215000e+01	6.267296e+07	-2.215000e+01	1.163674e+07	-2.215000e+01	6.439669e+07	-2.215000e+01	8.971589e+07	-2.215000e+01	-7.382544e+07
-2.185000e+01	-2.920499e+07	-2.185000e+01	4.617404e+07	-2.185000e+01	-1.393084e+08	-2.185000e+01	-5.320945e+07	-2.185000e+01	-3.271023e+07	-2.185000e+01	-6.380425e+07	-2.185000e+01	1.331949e+07	-2.185000e+01	2.714358e+07	-2.185000e+01	-3.124468e+07
-2.175000e+01	-1.434001e+07	-2.175000e+01	2.199112e+07	-2.175000e+01	-1.184303e+06	-2.175000e+01	-2.374292e+06	-2.175000e+01	-2.145956e+07	-2.175000e+01	-1.999166e+07	-2.175000e+01	-9.420716e+07	-2.175000e+01	-4.518795e+06	-2.175000e+01	7.024585e+06
-2.165000e+01	-1.859979e+07	-2.165000e+01	2.303242e+06	-2.165000e+01	-1.077285e+08	-2.165000e+01	4.131577e+07	-2.165000e+01	2.053167e+06	-2.165000e+01	3.643538e+01	-2.165000e+01	1.448013e+07	-2.165000e+01	1.709921e+07	-2.165000e+01	-1.183214e+08
-2.160000e+01	-4.082739e+07	-2.160000e+01	6.901802e+06	-2.160000e+01	-1.286672e+08	-2.160000e+01	-4.166027e+07	-2.160000e+01	-9.401399e+07	-2.160000e+01	6.482602e+07	-2.160000e+01	3.355585e+06	-2.160000e+01	-1.187799e+08	-2.160000e+01	-1.858119e+07
-2.157500e+01	-9.272200e+06	-2.157500e+01	6.909452e+06	-2.157500e+01	-3.768262e+07	-2.157500e+01	-2.268198e+07	-2.157500e+01	4.486334e+07	-2.157500e+01	1.591602e+07	-2.157500e+01	-3.128065e+07	-2.157500e+01	-8.158701e+07	-2.157500e+01	3.136585e+07
-2.155000e+01	-3.337519e+06	-2.155000e+01	-1.068577e+08	-2.155000e+01	4.136179e+07	-2.155000e+01	4.073687e+07	-2.155000e+01	5.820363e+07	-2.155000e+01	-1.053208e+08	-2.155000e+01	9.747509e+07	-2.155000e+01	-1.849449e+07	-2.155000e+01	-3.380454e+07
-2.152500e+01	6.657056e+07	-2.152500e+01	9.090453e+07	-2.152500e+01	-3.066597e+07	-2.152500e+01	6.875526e+07	-2.152500e+01	4.332516e+07	-2.152500e+01	6.894549e+07	-2.152500e+01	1.013030e+08	-2.152500e+01	6.725695e+07	-2.152500e+01	1.227401e+08
-2.150000e+01	3.283522e+06	-2.150000e+01	3.499386e+06	-2.150000e+01	-2.745524e+07	-2.150000e+01	-1.335837e+07	-2.150000e+01	-1.543646e+07	-2.150000e+01	-1.606543e+07	-2.150000e+01	-2.146595e+07	-2.150000e+01	7.090864e+07	-2.150000e+01	4.564160e+07
